"text","intent"
"Hello!","greeting"
"Thanks for the help bye.","goodbye"
"Can you tell me the exam day for Data Structures?","exam_date"
"What time can we visit during office hours for Machine Learning?","office_hours"
"Is the final of Machine Learning in January?","exam_date"
"Which textbook do we use in Data Structures?","course_info"
"I am done bye.","goodbye"
"Do you hold online office hours for Data Structures?","office_hours"
"When will the makeup exam for NLP be held?","exam_date"
"Okay goodbye.","goodbye"
"Good morning!","greeting"
"When will the makeup exam for Data Structures be held?","exam_date"
"Do you hold online office hours for Machine Learning?","office_hours"
"See you.","goodbye"
"Bye.","goodbye"
"When is our first quiz in Data Structures?","exam_date"
"Please tell me the next assignment deadline for NLP","assignment_deadline"
"See you later.","goodbye"
"Did the professor change the exam date of Machine Learning?","exam_date"
"Did the professor change the exam date of Data Structures?","exam_date"
"Are office hours available on Friday for Data Structures?","office_hours"
"What is the due date of week 3 homework in Machine Learning?","assignment_deadline"
"Has the exam schedule for NLP been announced?","exam_date"
"Could you remind me of the project submission date for NLP?","assignment_deadline"
"Have a nice day bye.","goodbye"
"Bye.","goodbye"
"That is all goodbye.","goodbye"
"Is NLP an elective or compulsory course?","course_info"
"When are your office hours for NLP?","office_hours"
"Hey there!","greeting"
"Hello I have a question!","greeting"
"Could you remind me of the project submission date for Machine Learning?","assignment_deadline"
"Is attendance required for Machine Learning?","course_info"
"Could you remind me of the project submission date for Data Structures?","assignment_deadline"
"When is our first quiz in NLP?","exam_date"
"When should we submit the final project in Machine Learning?","assignment_deadline"
"Hello!","greeting"
"When do we upload the take-home task for Machine Learning?","assignment_deadline"
"Is the lab report deadline this week for Data Structures?","assignment_deadline"
"Is there a Zoom link for Data Structures office hour?","office_hours"
"What date is the final exam in Machine Learning?","exam_date"
"Good evening!","greeting"
"Hello!","greeting"
"How can I book an office hour slot for Data Structures?","office_hours"
"Hi!","greeting"
"See you later.","goodbye"
"Could you share the office location for NLP?","office_hours"
"How can I book an office hour slot for Machine Learning?","office_hours"
"What are the consultation hours for Data Structures?","office_hours"
"Can I ask questions after class for Machine Learning office hours?","office_hours"
"Talk to you later.","goodbye"
"Can you share the syllabus for NLP?","course_info"
"Talk to you later.","goodbye"
"Do we have a project in Data Structures?","course_info"
"Do you hold online office hours for NLP?","office_hours"
"Exam date update for NLP please","exam_date"
"Where can I see the exam calendar for NLP?","exam_date"
"Do you know the quiz date for Machine Learning?","exam_date"
"When should we submit the final project in NLP?","assignment_deadline"
"Have a nice day bye.","goodbye"
"Catch you later.","goodbye"
"Can you share the syllabus for Data Structures?","course_info"
"Hey!","greeting"
"Do we have an extension for the last assignment in NLP?","assignment_deadline"
"What time is the assignment deadline for Data Structures?","assignment_deadline"
"I am done bye.","goodbye"
"Is there a Zoom link for Machine Learning office hour?","office_hours"
"Thanks bye.","goodbye"
"Hi chatbot!","greeting"
"That is all goodbye.","goodbye"
"Hi assistant!","greeting"
"When is assignment 1 due for Machine Learning?","assignment_deadline"
"Thanks for the help bye.","goodbye"
"Which textbook do we use in Machine Learning?","course_info"
"See you.","goodbye"
